מטבח כשר,משופצת,"ממ""ד",דלתות פנדור,מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,ציון,חדרים,קומה,"מ""ר",מחיר
0,0,1,1,1,0,1,1,1,1,0,1,2,5,חדש,גג/פנטהאוז, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3.5,5,170,"2,990,000 ₪"
0,0,0,0,0,1,0,1,0,0,0,ללא,,3,במצב שמור,דירה, חולון,[' קרית שרת מזרח'],0,4.5,3,3,70,"1,400,000 ₪"
0,0,1,1,0,0,1,0,1,0,0,1,1,7,חדש מקבלן,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,2,70,"1,890,000 ₪"
0,0,1,1,0,0,1,0,1,1,0,1,1,7,חדש מקבלן,דירת גן, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,4,קרקע,145,"2,590,000 ₪"
1,1,1,1,1,0,1,1,1,1,0,2,3,12,חדש,גג/פנטהאוז, חולון,[' קרית אילון'],0,3.9,6,12,350,"4,500,000 ₪"
0,1,1,1,1,0,1,1,1,1,0,2,1,19,חדש,דירה, חולון,[' קרית אילון'],0,3.9,5,11,120,"3,150,000 ₪"
0,1,0,1,1,0,1,1,1,0,1,1,,5,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,5,2,105,"2,150,000 ₪"
0,1,0,0,1,0,0,1,0,0,0,ללא,1,3,משופץ,דירה, חולון,[' אגרובנק'],0,"4
מ",2,3,51,"1,250,000 ₪"
0,1,0,1,1,1,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3.5,3,92,"1,400,000 ₪"
0,1,0,0,1,0,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,[' נאות שושנים'],0,4.5,3.5,1,65,"1,520,000 ₪"
0,0,0,1,0,0,0,1,0,0,1,ללא,,3,במצב שמור,דירה, חולון,"["" רסקו א'""]",0,"4
מ",2.5,3,75,"1,350,000 ₪"
0,1,1,1,0,0,0,1,0,1,1,1,,1,משופץ,דירת גן, חולון,[' נאות יהודית ונווה ארזים'],0,4.5,4,קרקע,215,"2,330,000 ₪"
0,1,0,0,1,0,0,1,1,0,1,1,,5,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,4,1,100,"1,840,000 ₪"
0,0,0,0,0,1,0,1,1,0,1,1,1,5,במצב שמור,דירה, חולון,[' בן גוריון'],0,"4
מ",5,2,107,"2,020,000 ₪"
0,1,1,0,1,0,1,1,1,1,0,2,1,28,חדש מקבלן,דירה, חולון,[' אגרובנק'],0,"4
מ",4,27,123,"2,890,000 ₪"
1,1,1,1,1,0,0,1,1,0,0,1,1,4,משופץ,דירה, חולון,[' נווה רמז'],0,4.3,4,2,86,"2,190,000 ₪"
,,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],0,-,קרקע,334,"1,000,000 ₪",
0,1,0,0,0,1,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,"["" רסקו א'""]",0,"4
מ",3,3,72,"1,630,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,0,1,0,0,0,1,1,1,1,0,1,1,5,חדש מקבלן,דירת גן, חולון,[' שיכון ותיקים'],1,4.2,4,קרקע,105,"2,750,000 ₪"
,1,1,1,0,0,0,1,0,0,1,2,1,,משופץ,פרטי/קוטג', חולון,[' קרית אילון'],1,3.9,8,קרקע,240,"4,825,000 ₪"
,1,0,1,0,0,1,1,1,0,1,1,,5,משופץ,דירה, חולון,[],1,4.4,4,1,95,"1,890,000 ₪"
,1,0,0,1,0,1,1,1,0,1,ללא,,6,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3,4,66,"1,495,000 ₪"
,1,0,1,0,0,0,1,0,0,1,1,,4,משופץ,דירה, חולון,[],1,"4
מ",3,1,77,"1,520,000 ₪"
,1,1,1,0,0,1,0,1,1,0,1,1,12,חדש מקבלן,דירה, חולון,[' קרית רבין'],1,3.6,5,7,153,"3,000,000 ₪"
,0,0,0,1,1,1,1,1,0,0,1,,4,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,2.5,2,57,"1,380,000 ₪"
,0,1,1,1,0,1,0,1,1,0,1,2,13,חדש מקבלן,דירה, חולון,[' קרית אילון'],1,3.9,5,3,120,"2,850,000 ₪"
,0,0,0,0,0,1,1,1,0,0,1,1,7,דרוש שיפוץ,דירה, חולון,[' בן גוריון'],1,"4
מ",4,3,105,"1,900,000 ₪"
,0,1,1,0,0,1,1,1,0,0,1,2,6,חדש מקבלן,דירה, חולון,[' נאות רחל'],1,"4
מ",4,5,92,"1,870,000 ₪"
,1,1,1,1,0,1,1,1,1,0,1,1,13,חדש,דירה, חולון,[' קרית אילון'],1,3.9,5,6,120,"2,770,000 ₪"
